CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482846743##8912806;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫРИЦА;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;4;97:25:38
482846744##8912811;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;Качество работы;Повреждение магистральный фидерных линий;Прочее;Не определено;7;97:40:03
482846745##8912816;Мурманский филиал ОАО «ххх»;КОВДОР;Отсутствие на всех каналах;Замена блока питания STB;FTTx;IP-TV;9;94:04:54
482846746##8912820;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Отказ от заявки/вызова;Прочее;Кабельное TV;10;104:26:47
482846747##8912824;Калининградский филиал ОАО «ххх»;ЯНТАРНЫЙ;01. Отсутствует синхронизация;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);xDSL;ШПД;6;96:21:53
482846748##8912829;Карельский филиал ОАО «ххх»;РАБОЧЕОСТРОВСК;Неустойчивое физическое соединение;Исправлена схема подключения;xDSL;ШПД;6;94:01:36
482846749##8912833;Новгородский филиал ОАО «ххх»;ПЕСТОВО;Неустойчивое физическое соединение;Замена пары в распределительном кабеле;xDSL;ШПД;6;97:12:39
482846750##8912834;Вологодский филиал ОАО «ххх»;ШЕКСНА;Плохая слышимость;Повреждение абонентского оборудования (собственность абонента);Медная пара;ОТА;6;94:20:27
482846751##8912845;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КРАСНОЕ СЕЛО;"Нет зуммера ""ответ станции""";Повреждение в зоне ответственности абонента;PON;SIP;8;95:09:06
482846752##8912855;Калининградский филиал ОАО «ххх»;ЛЮБЛИНО;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;99:22:40
482846753##8912867;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Зуммер ""занято""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;95:06:07
482846754##8912881;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;8;93:32:17
482846755##8912882;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое физическое соединение;Настройка CPE;DOCSIS;ШПД;13;125:02:19
482846756##8912886;Калининградский филиал ОАО «ххх»;ГВАРДЕЙСК;01. Отсутствует синхронизация;Замена коннектора;FTTx;ШПД;6;96:06:54
482846757##8912890;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на одном или неск. каналах;Восстановление кабельного ввода ;Прочее;Кабельное TV;6;94:50:48
482846758##8912892;Мурманский филиал ОАО «ххх»;МУРМАНСК;Процесс загрузки на черном фоне > 1 мин;Замена CPE;PON;IP-TV;10;96:55:02
482846759##8912899;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Актовая;Медная пара;ОТА;8;101:08:15
482846760##8912900;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;8;92:54:32
482846761##8912911;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена оптического коннектора;PON;SIP;10;99:07:45
482846762##8912913;Калининградский филиал ОАО «ххх»;ЧЕРНЯХОВСК;02. Не отображаются стр., нет авторизации;Дана консультация;PON;ШПД;6;94:56:53
482846763##8912915;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;4;97:54:36
482846764##8912916;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Замена пары в магистральном кабеле;Медная пара;ОТА;6;98:45:33
482846765##8912918;Псковский филиал ОАО «ххх»;ДНО;01. Отсутствует синхронизация;Оставлено до вторичного заявления;xDSL;ШПД;6;98:55:44
482846766##8912920;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;Нет соединения от абонента / к абоненту;Уплотнение (FCM, диодная приставка, АВУ, блокиратор и т.д.);Медная пара;ОТА;10;93:20:59
482846767##8912921;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;6;95:49:27
482846768##8912922;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;6;98:44:56
482846769##8912923;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;"""Данный вид связи недоступен для абонен""";Настройка оборудования СПД;Медная пара;ОТА;8;97:34:01
482846770##8912925;Коми филиал ОАО «ххх»;УХТА;Отсутствие на всех каналах;Замена патч-корда;PON;IP-TV;17;98:14:26
482846771##8912930;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Комнатная проводка до клиента (до квартиры абонента/в подъезде);Медная пара;ОТА;10;96:33:09
482846772##8912944;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Комнатная проводка (в домовладении/квартире);xDSL;ШПД;12;120:37:14
482846773##8912950;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;01. Отсутствует синхронизация;Проблемы с электропитанием;DOCSIS;ШПД;6;95:39:45
482846774##8912953;Архангельский филиал ОАО «ххх»;ЛЕШУКОНСКОЕ;01. Отсутствует синхронизация;Кабельный ящик;xDSL;ШПД;6;99:29:53
482846775##8912954;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Отказ от заявки/вызова;Медная пара;ОТА;10;94:39:32
482846776##8912957;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОЛПИНО;Другая проблема;Замена блока питания STB;PON;IP-TV;6;98:38:51
482846777##8912958;Мурманский филиал ОАО «ххх»;МУРМАНСК;"Нет выхода на ""8""/""10""";Дана консультация;Медная пара;ОТА;8;93:54:23
482846778##8912963;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Отключили параллельный аппарат;Медная пара;ОТА;8;95:12:28
482846779##8912965;Новгородский филиал ОАО «ххх»;СОЛЬЦЫ;"Нет зуммера ""ответ станции""";Необнаруженные повреждения;Медная пара;ОТА;6;94:06:36
482846780##8912967;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Нет соединения от абонента / к абоненту;Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;10;120:14:09
482846781##8912973;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;8;96:23:51
482846782##8912981;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Прерывание разговора;Оставлено до вторичного заявления;Медная пара;ОТА;6;94:07:02
482846783##8912984;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;8;99:55:20
482846784##8912985;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Кабельные оконечные устройства (КРТ, КЯ);DOCSIS;ШПД;16;105:25:37
482846785##8912987;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;12;141:54:58
482846786##8912989;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Повреждение РШ;Медная пара;ОТА;8;99:05:18
482846787##8912990;Карельский филиал ОАО «ххх»;ЛАХДЕНПОХЬЯ;Отсутствие на всех каналах;Проведена повторная активация услуги;FTTx;IP-TV;12;96:19:51
482846788##8912994;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена коннектора;PON;ШПД;12;100:23:25
482846789##8913001;Новгородский филиал ОАО «ххх»;СТАРАЯ РУССА;04. Не доступна сеть Wi-Fi;Обрыв провода (ВЛС-сталь, ПРППМ);xDSL;ШПД;10;93:48:04
482846790##8913006;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;Нет соединения от абонента / к абоненту;Необнаруженные повреждения;Медная пара;ОТА;6;118:46:54
482846791##8913010;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ТЯРЛЕВО;Нет соединения от абонента / к абоненту;Отказ от заявки/вызова;Медная пара;ОТА;6;93:20:05
482846792##8913011;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Исправлена схема подключения;Прочее;Кабельное TV;12;100:19:40
482846793##8913014;Вологодский филиал ОАО «ххх»;ВОЛОГДА;01. Отсутствует синхронизация;Кабельные оконечные устройства (КРТ, КЯ);xDSL;ШПД;8;95:49:25
482846794##8913015;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;8;93:59:27
482846795##8913017;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Передано на кабельное повреждение;PON;ШПД;8;94:02:31
482846796##8913018;Карельский филиал ОАО «ххх»;ТУНГОЗЕРО;"Нет зуммера ""ответ станции""";Абонентский наружный ввод;Медная пара;ОТА;8;99:07:59
482846797##8913019;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Подключение клиентского оборудования;Необнаруженные повреждения;DOCSIS;ШПД;13;105:17:18
482846798##8913021;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;Отсутствие на всех каналах;Замена STB;PON;IP-TV;9;95:23:14
482846799##8913027;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Муфта магистрального кабеля;Медная пара;ОТА;8;120:06:57
482846800##8913028;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Исправлена схема подключения;Прочее;Кабельное TV;10;96:47:14
482846801##8913032;Мурманский филиал ОАО «ххх»;27 КМ Ж/Д МОНЧЕГОРСК-ОЛЕНЬЯ;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;94:15:32
482846802##8913036;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Произведена настройка телефонного аппарата;Медная пара;ОТА;8;92:57:56
482846803##8913049;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;10;122:21:43
482846804##8913057;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;8;93:04:48
482846805##8913058;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Исправлена схема подключения;PON;ШПД;8;94:34:59
482846806##8913062;Новгородский филиал ОАО «ххх»;ВАЛДАЙ;Замена клиентского оборудования;Замена CPE;xDSL;ШПД;9;93:48:48
482846807##8913064;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Необнаруженные повреждения;Прочее;Кабельное TV;10;95:07:43
482846808##8913065;Архангельский филиал ОАО «ххх»;УСТЬ-ПИНЕГА;01. Отсутствует синхронизация;Кроссовый шнур в КРОССе (кроссировка),  телекоммуникационном шкафу;xDSL;ШПД;6;97:58:33
482846809##8913068;Псковский филиал ОАО «ххх»;ЭПИМАХОВО;"Зуммер ""занято""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;94:59:03
482846810##8913073;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;СЕРТОЛОВО;"Нет зуммера ""ответ станции""";Повреждение РШ;Медная пара;ОТА;8;118:35:59
482846811##8913076;Петербургский филиал ОАО «ххх» Ленинградская обл.;ПИКАЛЕВО;Низкая скорость;Площадка;xDSL;ШПД;4;92:31:55
482846812##8913077;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;6;97:55:43
482846813##8913078;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ЛОМОНОСОВ;"Нет зуммера ""ответ станции""";Муфта распределительного кабеля;Медная пара;ОТА;8;118:10:43
482846814##8913080;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Замена клиентского оборудования;Повреждение в ЗО клиента;PON;IP-TV;8;93:39:26
482846815##8913081;Архангельский филиал ОАО «ххх»;ОНЕГА;Качество работы;Повреждение абонентских линий проводного радио;Прочее;Не определено;8;91:48:44
482846816##8913087;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЛУГА;"Нет зуммера ""ответ станции""";Замена пары в магистральном кабеле;Медная пара;ОТА;4;93:11:35
482846817##8913090;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;Неустойчивое физическое соединение;Оставлено до вторичного заявления;xDSL;ШПД;8;93:16:14
482846818##8913092;Мурманский филиал ОАО «ххх»;МУРМАНСК;"Нет зуммера ""ответ станции""";Муфта распределительного кабеля;Медная пара;ОТА;6;94:30:08
482846819##8913093;Мурманский филиал ОАО «ххх»;КОВДОР;Замена (восстановление) проводки;Ремонт абонентской оптической розетки (сварка, коннектор);FTTx;ШПД;8;93:00:25
482846820##8913095;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Замена (восстановление) проводки;Дана консультация;PON;IP-TV;14;94:05:45
482846821##8913099;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Нарушение связи не обнаружено;PON;IP-TV;10;92:59:38
482846822##8913102;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Настройка клиентского оборудования;Настройка CPE;FTTx;IP-TV;6;100:58:52
482846823##8913103;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;9;91:43:52
482846824##8913104;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена (восстановление) проводки;Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;8;107:49:46
482846825##8913115;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;Отсутствие на всех каналах;Проблемы с электропитанием;Прочее;Кабельное TV;10;121:32:04
482846826##8913119;Новгородский филиал ОАО «ххх»;СЕРГОВО;"Нет зуммера ""ответ станции""";Замена пары в распределительном кабеле;Медная пара;ОТА;6;141:21:14
482846827##8913130;Коми филиал ОАО «ххх»;ВОРКУТА;Подключение клиентского оборудования;Исправлена схема подключения;FTTx;IP-TV;11;101:37:34
482846828##8913132;Петербургский филиал ОАО «ххх» Ленинградская обл.;ЛУГА;Низкая скорость;Нарушение связи не обнаружено;PON;ШПД;6;93:33:05
482846829##8913138;Карельский филиал ОАО «ххх»;ПЕТРОЗАВОДСК;01. Отсутствует синхронизация;Настройка CPE;xDSL;ШПД;10;93:56:33
482846830##8913145;Мурманский филиал ОАО «ххх»;АПАТИТЫ;Проверка АЛ на постороннее подключение;Дана консультация;Медная пара;ОТА;12;92:56:00
482846831##8913147;Петербургский филиал ОАО «ххх» Ленинградская обл.;ВЫБОРГ;Радио точка не работает;Повреждение магистральный фидерных линий;Прочее;Не определено;8;93:55:37
482846832##8913149;Карельский филиал ОАО «ххх»;КЕМЬ;Качество работы;Повреждение абонентских линий проводного радио;Прочее;Не определено;8;95:44:48
482846833##8913151;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;93:14:13
482846834##8913152;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на всех каналах;Исправлена схема подключения;PON;IP-TV;8;94:05:53
482846835##8913160;Коми филиал ОАО «ххх»;СЫКТЫВКАР;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;8;92:06:14
482846836##8913164;Калининградский филиал ОАО «ххх»;КАЛИНИНГРАД;Неустойчивое логическое соединение;Неисправность CPE;PON;ШПД;13;144:51:57
482846837##8913166;Петербургский филиал ОАО «ххх» Ленинградская обл.;СОСНОВЫЙ БОР;Замена (восстановление) проводки;Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;4;92:51:26
482846838##8913170;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Дана консультация;PON;IP-TV;6;124:35:35
482846839##8913181;Калининградский филиал ОАО «ххх»;БАЛТИЙСК;Нет соединения от абонента / к абоненту;Распределительный кабель (замена участка);Медная пара;ОТА;12;96:37:08
482846840##8913184;Калининградский филиал ОАО «ххх»;ЧЕРНЯХОВСК;Низкая скорость;Настройка ПК (сетевая карта, ПО и т.п.);PON;ШПД;8;93:37:43
482846841##8913187;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТОСНО;"Нет зуммера ""ответ станции""";Распределительная коробка;Медная пара;ОТА;6;92:51:13
482846842##8913189;Новгородский филиал ОАО «ххх»;ВЕЛИКИЙ НОВГОРОД;01. Отсутствует синхронизация;Отказ от заявки/вызова;FTTx;ШПД;6;91:55:36
482846843##8913192;Петербургский филиал ОАО «ххх» Ленинградская обл.;МАЛОЕ ВЕРЕВО;Нет соединения от абонента / к абоненту;Замена пар в распределении;Медная пара;ОТА;4;94:20:55
482846844##8913197;Мурманский филиал ОАО «ххх»;КОЛА;01. Отсутствует синхронизация;Отказ от заявки/вызова;xDSL;ШПД;6;91:05:08
482846845##8913201;Мурманский филиал ОАО «ххх»;МУРМАНСК;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;10;94:03:24
482846846##8913204;Петербургский филиал ОАО «ххх» Ленинградская обл.;КИРОВСК;01. Отсутствует синхронизация;Замена коннектора;PON;ШПД;6;93:17:43
482846847##8913206;Карельский филиал ОАО «ххх»;ЛАХДЕНПОХЬЯ;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;96:23:37
482846848##8913209;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Необнаруженные повреждения;Прочее;Кабельное TV;15;100:02:07
482846849##8913211;Новгородский филиал ОАО «ххх»;ПЕСТОВО;"Нет зуммера ""ответ станции""";Обрыв провода (ВЛС-сталь, ПРППМ);Медная пара;ОТА;6;92:31:30
482846850##8913214;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;Отсутствие на всех каналах;Замена STB;PON;IP-TV;8;94:22:01
482846851##8913218;Вологодский филиал ОАО «ххх»;САЗОНОВО;Нет соединения от абонента / к абоненту;Неисправный аппарат;Медная пара;ОТА;6;97:15:38
482846852##8913221;Мурманский филиал ОАО «ххх»;КОВДОР;Отсутствие на всех каналах;Замена коннектора;FTTx;IP-TV;8;92:53:57
482846853##8913223;Новгородский филиал ОАО «ххх»;СТАРАЯ РУССА;Замена клиентского оборудования;Замена пульта STB;PON;IP-TV;8;94:02:20
482846854##8913227;Калининградский филиал ОАО «ххх»;ЧКАЛОВСК;Плохая слышимость;Кабельные оконечные устройства (КРТ, КЯ);Медная пара;ОТА;8;92:47:37
482846855##8913234;Калининградский филиал ОАО «ххх»;ВАСИЛЬКОВО;Низкая скорость;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);xDSL;ШПД;10;91:56:04
482846856##8913243;Вологодский филиал ОАО «ххх»;ВЕЛИКИЙ УСТЮГ;"Нет зуммера ""ответ станции""";Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);Медная пара;ОТА;6;93:24:24
482846857##8913244;Мурманский филиал ОАО «ххх»;ЗАОЗЕРСК;Отсутствие на всех каналах;Замена STB;FTTx;IP-TV;8;95:55:39
482846858##8913247;Вологодский филиал ОАО «ххх»;ЧАГОДА;Неустойчивое физическое соединение;Замена коннектора;FTTx;ШПД;9;95:23:01
482846859##8913256;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;01. Отсутствует синхронизация;Комнатная проводка до клиента (до квартиры абонента/в подъезде);FTTx;ШПД;8;97:56:23
482846860##8913263;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;Отсутствие на всех каналах;Проблемы с электропитанием;Прочее;Кабельное TV;10;120:59:04
482846861##8913265;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ВСЕВОЛОЖСК;01. Отсутствует синхронизация;Замена патч-корда;PON;ШПД;16;96:40:05
482846862##8913266;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;97:14:37
482846863##8913268;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;"Нет зуммера ""ответ станции""";Комнатная проводка (в домовладении/квартире);Медная пара;ОТА;12;92:33:41
482846864##8913274;Карельский филиал ОАО «ххх»;ПЕТРОЗАВОДСК;"Нет зуммера ""ответ станции""";Замена магистральной и распределительной пар;Медная пара;ОТА;12;93:56:56
482846865##8913278;Мурманский филиал ОАО «ххх»;ОЛЕНЕГОРСК;Неустойчивое физическое соединение;Повреждение клиентского оборудования ;FTTx;ШПД;8;92:22:16
482846866##8913279;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;01. Отсутствует синхронизация;Сообщение провода (ВЛС, наброс, короткое, обрыв);xDSL;ШПД;10;119:03:38
482846867##8913281;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Нет соединения от абонента / к абоненту;Замена магистральной и распределительной пар;Медная пара;ОТА;8;95:51:12
482846868##8913284;Вологодский филиал ОАО «ххх»;ВОЛОГДА;Плохая слышимость;Закрыт доступ на распред.коробку;Медная пара;ОТА;6;91:36:09
482846869##8913285;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Замена клиентского оборудования;Замена CPE;PON;ШПД;12;97:01:50
482846870##8913287;Новгородский филиал ОАО «ххх»;СТАРАЯ РУССА;02. Не отображаются стр., нет авторизации;Замена сплиттера;xDSL;ШПД;8;96:35:34
482846871##8913290;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПАРГОЛОВО;Неустойчивое физическое соединение;Настройка CPE;PON;ШПД;10;97:54:49
482846872##8913294;Мурманский филиал ОАО «ххх»;МУРМАНСК;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;12;100:34:13
482846873##8913298;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Плохая слышимость;Замена пары в магистральном кабеле;Медная пара;ОТА;8;94:37:59
482846874##8913299;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;12;142:12:15
482846875##8913300;Коми филиал ОАО «ххх»;МИКУНЬ;Замена клиентского оборудования;Настройка пульта STB;FTTx;IP-TV;8;92:42:46
482846876##8913302;Архангельский филиал ОАО «ххх»;СЕВЕРОДВИНСК;Замена клиентского оборудования;Замена блока питания CPE;PON;IP-TV;12;92:11:55
482846877##8913304;Вологодский филиал ОАО «ххх»;ЧЕРЕПОВЕЦ;01. Отсутствует синхронизация;Замена магистральной и распределительной пар;PON;ШПД;12;104:07:43
482846878##8913305;Псковский филиал ОАО «ххх»;ПЫТАЛОВО;Низкая скорость;Распределительный шкаф (шнур, контактный винт, обрыв кроссировки, отсутствие винтов, ламелей);xDSL;ШПД;6;122:52:14
482846879##8913313;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КОММУНАР;"Нет зуммера ""ответ станции""";Распределительный кабель (замена участка);Медная пара;ОТА;6;118:59:55
482846880##8913318;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Неустойчивое физическое соединение;Передано на кабельное повреждение;PON;ШПД;8;93:43:59
482846881##8913321;Архангельский филиал ОАО «ххх»;АРХАНГЕЛЬСК;01. Отсутствует синхронизация;Замена CPE;PON;ШПД;10;92:13:22
482846882##8913323;Петербургский филиал ОАО «ххх» Ленинградская обл.;ИМ СВЕРДЛОВА;02. Не отображаются стр., нет авторизации;Восстановление услуг подтверждено системой мониторинга;xDSL;ШПД;6;91:43:08
482846883##8913325;Мурманский филиал ОАО «ххх»;СЕВЕРОМОРСК;Качество работы;Повреждение абонентских линий проводного радио;Прочее;Не определено;8;95:48:38
482846884##8913328;Архангельский филиал ОАО «ххх»;ЛУКОВЕЦКИЙ;01. Отсутствует синхронизация;Комнатная проводка до клиента (до квартиры абонента/в подъезде);xDSL;ШПД;6;97:03:57
482846885##8913331;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Передано на кабельное повреждение;PON;ШПД;8;95:28:34
482846886##8913332;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Кабельные оконечные устройства (КРТ, КЯ);DOCSIS;ШПД;14;104:32:45
482846887##8913337;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;Низкая скорость;Повреждение в зоне ответственности абонента;PON;ШПД;8;100:17:04
482846888##8913338;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Неисправность коннектора;PON;IP-TV;8;99:26:23
482846889##8913343;Коми филиал ОАО «ххх»;СОСНОГОРСК;Отсутствие на всех каналах;Замена блока питания STB;FTTx;IP-TV;8;91:10:10
482846890##8913344;Петербургский филиал ОАО «ххх» Ленинградская обл.;СОСНОВЫЙ БОР;Нет соединения от абонента / к абоненту;Распределительная коробка;Медная пара;ОТА;4;92:35:47
482846891##8913347;Карельский филиал ОАО «ххх»;БЕЛОМОРСК;Отсутствие на всех каналах;Комнатная проводка (в домовладении/квартире);FTTx;IP-TV;8;96:31:20
